Rede,Bairro,Endereço,Região,CEP,Cidade,Tipo de recarga,Tipo de Estabelecimento,Estabelecimento,Tipo de Atendimento
PLDEVICE,ARTUR ALVIM,"RUA DR. LUIZ AIRES, 1800",ZONA LESTE,03568-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,TERMINAL DE ÔNIBUS,TERMINAL METRÔ ARTUR ALVIM,PÚBLICO
PLDEVICE,ARTUR ALVIM,"RUA DR. LUIZ AIRES, 1800",ZONA LESTE,03568-000,SAO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,TERMINAL DE ÔNIBUS,METRÔ ARTUR ALVIM,PÚBLICO
PLDEVICE,ARTUR ALVIM,"RUA DR. LUIZ AYRES, 2072",ZONA LESTE,03568-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,DROGARIA,PREVENT FARMA,PÚBLICO
PLDEVICE,ARTUR ALVIM,"RUA DR. CAMPOS MOURA, 192",ZONA LESTE,03568-010,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,LANCHONETE,LANCHETERIA LINOS,PÚBLICO
PLDEVICE,ARTUR ALVIM,"RUA PEDRO FILIER, 16, LADO B",ZONA LESTE,03568-080,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,RELOJOARIA,RELOJOARIA CHAVEIRO WESLEY,PÚBLICO
PLDEVICE,BARRO BRANCO,"RUA ANTONIO CARLOS MINGUES LOPES, 1509",ZONA LESTE,08473-270,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BAZAR,BAZAR RANGEL,PÚBLICO
PLDEVICE,BARRO BRANCO,"RUA ANTONIO CARLOS MINGUES LOPES, 1778",ZONA LESTE,08473-270,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,HORTIFRUTI,HORTI FRUTI VITÓRIA,PÚBLICO
PLDEVICE,BELENZINHO,"AV. ALCÂNTARA MACHADO, S/N",ZONA LESTE,03178-200,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,TERMINAL DE ÔNIBUS,TERMINAL METRÔ BELÉM,PÚBLICO
PLDEVICE,BELENZINHO,"AV. ALCÂNTARA MACHADO, S/N",ZONA LESTE,03178-200,SAO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,TERMINAL DE ÔNIBUS,METRÔ BELÉM,PÚBLICO
PLDEVICE,BELEZINHO,"RUA TOLEDO BARBOSA, 129",ZONA LESTE,03061-000,SAO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA BELEM,PÚBLICO
